"date2","NEUIL","RUR.SE"
2015-05-01,61,58
2015-05-02,56,69
2015-05-03,72,54
2015-05-04,66,71
2015-05-05,73,84
2015-05-06,76,73
2015-05-12,85,103
2015-05-13,88,93
2015-05-14,80,82
2015-05-15,78,83
2015-05-16,85,82
2015-05-17,109,102
2015-05-18,90,104
2015-05-19,69,87
2015-05-20,77,90
2015-05-21,93,92
2015-05-22,93,119
2015-05-23,82,104
2015-05-24,91,103
2015-05-25,94,90
2015-05-26,84,86
2015-05-27,105,118
2015-05-28,65,79
2015-05-29,80,96
2015-05-30,85,101
2015-05-31,59,63
2015-06-01,78,97
2015-06-02,71,96
2015-06-03,81,61
2015-06-04,97,100
2015-06-05,122,122
2015-06-06,100,125
2015-06-07,105,112
2015-06-08,87,111
2015-06-09,91,101
2015-06-10,72,71
2015-06-11,48,78
2015-06-12,93,114
2015-06-13,111,114
2015-06-14,106,112
2015-06-15,92,120
2015-06-16,99,121
2015-06-17,117,109
2015-06-18,68,57
2015-06-19,91,104
2015-06-20,81,97
2015-06-21,69,67
2015-06-22,53,74
2015-06-23,74,84
2015-06-24,112,111
2015-06-25,129,108
2015-06-26,122,119
2015-06-27,94,88
2015-06-28,110,102
2015-06-29,106,106
2015-06-30,113,115
2015-07-01,177,144
2015-07-02,124,180
2015-07-03,165,142
2015-07-04,174,119
2015-07-05,61,61
2015-07-07,77,97
2015-07-08,58,67
2015-07-09,88,105
2015-07-10,108,117
2015-07-11,126,132
2015-07-12,74,91
2015-07-13,60,74
2015-07-14,56,66
2015-07-15,94,90
2015-07-16,118,120
2015-07-17,90,80
2015-07-18,132,83
2015-07-19,68,65
2015-07-20,39,53
2015-07-21,56,70
2015-07-22,57,49
2015-07-23,96,89
2015-07-24,88,102
2015-07-25,83,89
2015-07-26,65,83
2015-07-27,67,83
2015-07-28,68,86
2015-07-29,70,81
2015-07-30,76,96
2015-07-31,88,103
2015-08-03,127,141
2015-08-04,79,90
2015-08-05,101,111
2015-08-06,90,96
2015-08-07,117,149
2015-08-08,103,107
2015-08-09,108,99
2015-08-10,76,117
2015-08-11,77,124
2015-08-12,152,154
2015-08-13,120,123
2015-08-14,73,82
2015-08-15,78,85
2015-08-16,91,92
2015-08-17,88,96
2015-08-18,49,62
2015-08-19,100,105
2015-08-20,63,73
